order_id,product_id,category,price,shipping_cost
10082,P1886,Beauty,13.23,2.72
10082,P3253,Books,29.44,5.5
10083,P2670,Books,59.74,3.21
10083,P7169,Books,70.84,7.6
10085,P2573,Books,71.59,7.78
10085,P1859,Home,81.98,1.51
10085,P8107,Electronics,82.45,5.46
10085,P1556,Apparel,54.75,3.39
10086,P2468,Books,83.31,5.63
10086,P5509,Beauty,73.41,5.46
10086,P2966,Books,56.81,3.09
10086,P9351,Electronics,12.08,4.11
10087,P8105,Beauty,43.56,5.42
10087,P2040,Home,50.4,0.83
10088,P9788,Beauty,128.75,0.31
10088,P9830,Sports,81.54,8.1
10092,P3960,Apparel,86.62,8.03
10093,P3015,Electronics,91.17,12.49
10093,P3641,Electronics,29.16,3.21
10094,P1001,Home,137.12,2.43
10094,P9510,Apparel,49.17,13.39
10094,P9035,Home,96.55,6.3
10096,P2622,Sports,47.8,1.76
10096,P4081,Books,69.87,1.99
10096,P3198,Apparel,29.1,6.99
10097,P7914,Sports,62.69,2.0
10097,P3675,Electronics,90.45,4.07
10098,P5413,Sports,40.07,9.81
10098,P7097,Books,111.85,3.0
10099,P8104,Beauty,130.03,4.94
10099,P2270,Beauty,14.17,9.41
10100,P3397,Home,76.89,6.54
10101,P4640,Home,6.37,3.17
10101,P3023,Beauty,80.22,6.57
10102,P1785,Sports,26.85,0.83
10102,P3960,Apparel,30.53,6.31
10102,P9711,Home,68.8,5.69
10103,P9414,Beauty,53.47,2.24
10103,P7206,Books,18.28,1.09
10103,P7064,Sports,65.0,0.45
10103,P7852,Books,68.39,5.86
10104,P9228,Beauty,82.92,6.71
10104,P4748,Home,27.22,3.59
10105,P2534,Books,21.97,11.39
10106,P3235,Beauty,106.69,14.24
10107,P6653,Books,72.28,8.33
10109,P9416,Apparel,16.51,10.13
10109,P7211,Home,115.35,5.1
10111,P4490,Home,53.96,4.58
10112,P1942,Beauty,140.35,13.23
10113,P9061,Beauty,62.02,1.59
10113,P3518,Apparel,22.74,8.02
10114,P3984,Home,40.31,4.99
10114,P8185,Sports,96.01,1.26
10114,P6795,Books,99.04,1.88
10114,P4251,Books,54.95,4.18
10115,P8852,Electronics,18.17,1.67
10115,P9012,Books,82.66,1.0
10115,P3087,Sports,44.45,5.73
10117,P3066,Electronics,130.65,10.78
10117,P4874,Apparel,52.75,0.18
10119,P8027,Home,50.17,1.25
10119,P4061,Apparel,97.74,11.08
10119,P5317,Apparel,50.01,1.75
10119,P4250,Books,45.21,12.48
10120,P2973,Sports,66.77,1.52
10120,P4148,Apparel,45.06,2.8
10121,P1834,Electronics,53.93,0.76
10121,P4791,Beauty,37.53,2.58
10121,P9353,Apparel,31.95,4.02
10121,P5411,Beauty,56.08,2.55
10122,P6269,Electronics,10.48,10.31
10122,P2650,Apparel,51.95,4.37
10124,P3134,Books,12.39,8.61
10126,P7292,Apparel,56.58,1.76
10126,P2971,Electronics,75.16,1.1
10126,P4120,Electronics,51.58,7.66
10128,P4309,Home,103.08,13.72
10128,P4140,Sports,102.49,0.61
10128,P6690,Beauty,80.46,3.5
10129,P2109,Books,61.84,7.65
10129,P9255,Beauty,38.45,7.83
10129,P3112,Electronics,18.69,2.3
10129,P4116,Home,9.16,4.75
10130,P2228,Beauty,59.28,7.31
10130,P7393,Apparel,39.92,4.28
10130,P1058,Beauty,53.21,1.74
10130,P1145,Apparel,50.43,4.98
10131,P5971,Sports,96.48,6.97
10131,P2951,Apparel,45.54,3.56
10131,P5781,Apparel,36.57,7.08
10131,P5550,Electronics,88.05,12.49
10132,P4440,Electronics,103.94,3.89
10132,P7047,Sports,27.31,10.11
10132,P9999,Home,22.52,11.01
10133,P3895,Home,42.33,15.05
10134,P4377,Books,47.87,9.76
10134,P7479,Beauty,42.52,4.2
10134,P8109,Apparel,75.35,11.39
10134,P9125,Home,31.99,7.48
10135,P3911,Books,42.99,4.04
10135,P3351,Beauty,92.28,2.44
10136,P2633,Books,64.43,0.1
10136,P1222,Beauty,35.71,0.92
10137,P3336,Apparel,46.55,1.3
10138,P6544,Electronics,82.29,0.91
10139,P8279,Apparel,30.67,11.86
10142,P9905,Home,80.13,3.81
10142,P1347,Books,49.35,8.48
10142,P9381,Electronics,25.38,4.63
10143,P4713,Apparel,5.7,1.88
10143,P5699,Beauty,35.81,2.97
10143,P2841,Apparel,77.86,5.75
10143,P2666,Beauty,18.89,0.92
10145,P6906,Home,21.5,5.2
10145,P3917,Electronics,140.8,9.43
10145,P7967,Beauty,87.63,9.36
10146,P5348,Home,111.82,8.03
10147,P3401,Electronics,135.86,15.26
10148,P3089,Books,27.43,0.76
10148,P9097,Apparel,65.77,2.96
10148,P6463,Beauty,43.33,8.17
10148,P5028,Apparel,68.49,5.49
10149,P9633,Beauty,17.59,8.69
10149,P4593,Sports,96.2,9.87
10151,P1281,Home,5.82,8.35
10151,P2804,Home,49.38,8.04
10153,P3257,Apparel,25.32,2.16
10153,P7184,Electronics,92.74,6.77
10153,P7089,Books,8.77,9.28
10153,P2208,Electronics,69.35,6.37
10154,P3452,Electronics,50.22,6.83
10155,P5907,Books,25.42,6.79
10155,P1216,Beauty,58.04,4.35
10155,P1526,Home,21.96,0.77
10155,P1178,Sports,98.87,6.48
10157,P7941,Sports,77.38,10.26
10157,P7185,Apparel,46.33,1.33
10157,P1917,Apparel,109.95,5.78
10158,P7637,Books,78.6,4.89
10159,P4190,Electronics,127.36,10.09
10159,P6496,Home,26.18,1.21
10160,P1530,Home,37.74,3.15
10162,P6056,Electronics,12.33,1.03
10162,P7523,Electronics,108.55,8.31
10162,P6830,Sports,27.48,8.31
10162,P7672,Apparel,79.88,1.08
10163,P7260,Sports,127.97,2.34
10164,P3307,Books,44.12,3.37
10165,P9573,Sports,46.08,6.12
10165,P5765,Home,40.68,1.1
10166,P3496,Apparel,155.57,9.46
10166,P1244,Sports,101.8,7.76
10167,P5589,Apparel,78.83,1.36
10167,P3935,Sports,34.08,0.75
10167,P8753,Books,66.12,2.17
10168,P8999,Books,81.59,8.25
10168,P7701,Electronics,35.64,2.52
10168,P7008,Sports,81.02,1.13
10168,P7122,Sports,75.09,8.36
10169,P5011,Sports,141.13,0.82
10170,P3592,Apparel,72.48,2.44
10171,P2531,Apparel,66.92,7.21
10173,P6385,Beauty,122.25,3.11
10174,P3551,Electronics,27.43,0.32
10174,P1513,Beauty,17.01,1.79
10174,P6922,Sports,66.3,0.52
10174,P4465,Beauty,82.32,1.79
10175,P3322,Home,25.36,1.48
10175,P8396,Electronics,27.08,0.69
10175,P5250,Beauty,46.75,5.63
10175,P8021,Apparel,70.71,0.78
10176,P8156,Beauty,47.59,6.59
10176,P1162,Home,77.15,4.79
10176,P2274,Sports,66.99,5.02
10176,P6304,Books,57.97,5.18
10178,P3416,Electronics,22.73,5.03
10178,P7658,Beauty,95.82,1.24
10178,P8381,Home,60.64,0.04
10179,P2596,Books,75.82,15.12
10179,P7884,Electronics,42.24,15.28
10180,P4131,Sports,51.51,4.28
10180,P6960,Books,74.37,0.17
10182,P6762,Books,83.92,3.48
10182,P6502,Home,70.53,3.58
10182,P7113,Electronics,78.22,3.86
10182,P8141,Apparel,48.94,1.36
10183,P1269,Electronics,127.75,1.62
10184,P9924,Electronics,59.91,8.5
10184,P1534,Electronics,74.37,5.69
10184,P4651,Books,38.12,4.76
10184,P8693,Beauty,65.73,1.29
10185,P7484,Beauty,61.93,11.24
10185,P9315,Electronics,129.28,10.72
10185,P6036,Home,43.35,9.02
10187,P7792,Books,24.53,7.56
10187,P7134,Electronics,6.82,1.29
10187,P6490,Sports,69.89,5.04
10187,P4962,Apparel,80.8,8.34
10188,P1845,Apparel,53.91,3.3
10188,P7396,Sports,39.24,7.89
10188,P9475,Books,19.22,7.59
10188,P3069,Apparel,39.89,0.83
10189,P8166,Home,21.57,0.78
10189,P1455,Electronics,54.91,4.98
10190,P3138,Sports,41.37,7.25
10191,P5864,Apparel,26.04,8.05
10191,P7194,Apparel,50.79,2.2
10191,P3355,Home,61.16,2.47
10192,P2754,Electronics,77.25,9.29
10194,P1359,Apparel,67.3,7.66
10194,P2250,Beauty,21.11,14.96
10194,P6137,Apparel,110.47,5.85
10195,P3927,Apparel,20.33,0.09
10195,P1515,Books,51.67,5.26
10195,P8928,Electronics,84.73,8.61
10195,P9548,Sports,54.32,0.04
10196,P9486,Apparel,98.64,8.36
10198,P3073,Home,30.58,1.3
10199,P9399,Beauty,64.02,4.17
10199,P4242,Beauty,77.91,2.1
10199,P7436,Books,71.93,6.03
10200,P6222,Beauty,38.82,6.27
10200,P4272,Sports,14.04,3.22
10200,P2052,Sports,33.27,7.54
10200,P9378,Beauty,18.71,0.29
10202,P6286,Beauty,13.33,2.54
10202,P2190,Beauty,113.46,5.04
10202,P6151,Apparel,95.83,5.24
10203,P2085,Sports,67.95,7.55
10203,P4562,Beauty,27.83,1.78
10203,P2225,Electronics,49.58,6.02
10203,P8130,Sports,75.59,3.54
10205,P3033,Electronics,83.24,3.53
10205,P7272,Beauty,19.02,2.74
10205,P1076,Apparel,50.79,2.39
10205,P7599,Beauty,27.89,7.07
10206,P6665,Beauty,115.7,4.29
10207,P2989,Beauty,72.13,8.13
10207,P4670,Home,79.11,0.86
10207,P6289,Electronics,70.31,1.16
10207,P2442,Books,62.38,1.9
10211,P1786,Home,139.01,0.68
10212,P7218,Home,58.34,9.55
10213,P7771,Apparel,104.26,12.02
10213,P9644,Books,65.53,1.66
10213,P5596,Apparel,82.11,8.96
10214,P4971,Books,15.57,6.04
10214,P2278,Books,72.55,9.26
10214,P1215,Electronics,105.32,0.65
10215,P4418,Beauty,20.34,0.88
10215,P6134,Sports,65.31,4.32
10215,P9265,Home,61.14,5.5
10215,P6957,Electronics,77.27,1.84
10217,P6032,Electronics,50.86,2.56
10217,P2755,Sports,104.81,2.3
10219,P1468,Electronics,101.59,2.1
10219,P5351,Beauty,77.16,5.1
10220,P7058,Sports,52.37,6.12
10220,P7923,Electronics,15.58,5.3
10220,P5520,Apparel,47.23,5.57
10220,P2788,Sports,87.73,7.18
10221,P1584,Electronics,38.65,0.76
10221,P2655,Sports,44.84,0.94
10223,P6695,Beauty,29.0,8.81
10223,P1050,Books,37.62,6.69
10223,P8811,Electronics,26.84,10.18
10224,P4069,Apparel,30.3,0.58
10224,P1208,Home,76.15,1.19
10225,P2261,Home,13.33,15.09
10225,P6769,Apparel,108.52,13.22
10225,P5055,Beauty,94.63,7.56
10225,P5762,Beauty,26.14,12.69
10226,P6499,Apparel,99.94,1.26
10226,P9940,Beauty,66.34,4.44
10227,P8935,Books,31.77,4.35
10227,P1339,Electronics,26.76,4.36
10227,P3320,Apparel,82.33,7.2
10228,P7189,Apparel,63.96,1.63
10228,P9927,Books,14.06,2.3
10228,P3866,Beauty,83.01,7.36
10229,P9520,Home,46.87,0.54
10229,P8101,Books,51.05,8.08
10229,P6685,Beauty,78.55,10.45
10229,P3410,Home,22.36,0.11
10230,P5828,Home,81.28,1.01
10230,P3022,Electronics,76.48,3.39
10231,P9224,Home,27.65,12.44
10232,P4223,Electronics,74.42,1.45
10232,P4585,Beauty,62.28,0.82
10234,P6091,Electronics,75.61,7.73
10234,P6283,Apparel,49.81,5.71
10234,P5096,Sports,16.51,6.45
10234,P5997,Apparel,38.24,1.67
10235,P6132,Electronics,16.46,3.71
10235,P8673,Sports,78.9,5.99
10235,P7721,Home,39.13,3.53
10235,P7896,Beauty,7.77,4.7
10236,P5806,Apparel,54.28,7.56
10236,P7601,Electronics,64.82,3.3
10236,P9487,Books,6.07,6.78
10237,P8888,Home,96.94,12.82
10238,P1868,Electronics,118.21,10.52
10239,P4662,Sports,114.07,7.45
10239,P6093,Books,99.91,2.33
10242,P2100,Beauty,101.2,3.13
10243,P2995,Sports,75.02,0.87
10244,P3018,Sports,95.01,11.62
10244,P3321,Beauty,27.47,0.29
10244,P9956,Books,92.0,2.31
10245,P2758,Home,76.23,4.32
10245,P1458,Beauty,50.36,4.7
10245,P1180,Home,54.51,6.23
10245,P8282,Sports,38.59,7.13
10246,P9244,Electronics,153.35,5.58
10246,P7399,Apparel,61.19,11.01
10246,P6764,Sports,19.54,10.23
10247,P5560,Beauty,61.67,6.61
10247,P8925,Books,29.35,3.31
10247,P3955,Beauty,81.07,5.09
10250,P6703,Apparel,71.53,5.87
10250,P1736,Sports,64.06,4.03
10250,P2581,Electronics,85.88,1.59
10251,P4876,Books,58.6,8.71
10251,P7292,Electronics,103.89,2.0
10251,P5103,Beauty,106.3,0.71
10251,P8234,Electronics,11.64,8.6
10252,P7187,Apparel,57.16,10.89
10253,P9659,Apparel,118.46,6.77
10253,P2576,Apparel,22.92,0.38
10254,P9653,Home,37.38,11.39
10255,P2161,Electronics,41.23,5.42
10255,P5886,Sports,12.08,6.77
10256,P6863,Home,144.68,3.93
10256,P5719,Electronics,137.42,2.46
10258,P2816,Beauty,100.48,8.52
10258,P5309,Sports,78.98,14.31
10258,P5274,Books,14.77,5.28
10259,P1579,Apparel,82.26,12.57
10260,P1683,Sports,80.11,2.02
10261,P4214,Apparel,7.28,0.46
10261,P1296,Sports,53.28,3.18
10261,P7180,Sports,43.4,3.25
10262,P8175,Books,67.94,2.01
10262,P7024,Electronics,132.05,14.35
10262,P1949,Home,36.14,6.38
10262,P4721,Apparel,41.37,8.59
10263,P3958,Electronics,21.55,1.98
10263,P5001,Home,16.77,5.46
10264,P2258,Sports,68.33,10.26
10264,P9108,Electronics,46.83,8.48
10265,P7011,Apparel,40.38,2.54
10265,P9631,Sports,28.55,5.49
10265,P2710,Home,30.6,4.55
10266,P5996,Apparel,71.57,4.38
10266,P3325,Books,48.95,1.03
10268,P7294,Beauty,71.17,2.27
10269,P7214,Beauty,54.64,2.55
10269,P5999,Apparel,77.53,6.05
10269,P1425,Electronics,64.98,3.95
10269,P5301,Sports,87.56,3.81
10270,P8111,Electronics,32.33,6.96
10270,P1935,Beauty,66.95,7.8
10271,P9761,Books,78.71,2.42
10271,P9501,Beauty,38.83,6.04
10271,P4903,Home,18.35,3.21
10271,P5495,Apparel,76.76,2.36
10272,P5104,Electronics,53.86,3.04
10272,P3036,Books,69.12,5.11
10272,P5333,Home,50.17,2.69
10272,P1145,Apparel,40.4,0.15
10274,P2049,Home,75.93,4.63
10275,P1812,Apparel,102.18,2.29
10275,P9302,Apparel,27.07,0.6
10276,P5244,Electronics,83.87,3.28
10276,P6789,Home,11.76,12.15
10276,P6729,Sports,106.0,8.64
10277,P7815,Sports,34.71,6.91
10277,P3344,Electronics,55.92,7.36
10277,P6488,Electronics,31.2,6.62
10278,P1510,Beauty,79.49,2.47
10278,P3458,Apparel,34.47,2.44
10278,P6129,Sports,7.6,5.12
10279,P7243,Sports,15.15,11.34
10279,P4679,Books,21.83,1.21
10279,P9982,Sports,83.71,8.96
10279,P9646,Books,71.27,11.44
10280,P5410,Books,46.72,3.7
10280,P4998,Apparel,71.14,2.46
10280,P6930,Home,24.65,6.45
10280,P2890,Apparel,41.33,6.29
10281,P2305,Books,80.67,3.44
10281,P6935,Home,49.54,0.64
10281,P7862,Books,43.56,1.93
10281,P3052,Apparel,50.24,6.94
10282,P5264,Beauty,58.45,5.59
10282,P7692,Home,32.38,0.99
10284,P5315,Beauty,12.66,1.89
10284,P2654,Sports,113.97,7.33
10286,P7919,Sports,136.62,14.33
10286,P4955,Home,28.95,10.87
10288,P2765,Home,141.06,14.01
10290,P8354,Electronics,67.59,3.17
10292,P8816,Books,71.05,2.43
10292,P9345,Books,16.16,1.54
10292,P7060,Electronics,17.54,0.06
10292,P8185,Books,56.51,3.18
10294,P9326,Electronics,92.53,14.0
10294,P3923,Beauty,51.94,5.99
10294,P4451,Apparel,16.51,14.74
10297,P8191,Apparel,26.21,4.05
10297,P5250,Apparel,131.97,4.26
10297,P5565,Sports,113.78,13.66
10298,P9001,Sports,88.73,3.04
10300,P7987,Home,39.98,14.69
10301,P2965,Beauty,53.34,1.72
10301,P2423,Beauty,139.81,7.7
10302,P2295,Books,58.03,8.13
10302,P6359,Books,67.79,6.11
10302,P9402,Apparel,45.35,2.32
10303,P1628,Books,110.56,13.92
10306,P7163,Books,78.12,2.94
10307,P8938,Books,38.9,7.33
10307,P4253,Apparel,117.21,4.41
10309,P1052,Sports,135.2,11.69
10311,P4845,Beauty,83.09,7.19
10312,P5916,Sports,57.11,1.51
10312,P9031,Apparel,74.2,5.61
10312,P8880,Books,36.35,3.0
10312,P5706,Home,13.17,0.94
10313,P6694,Beauty,149.64,10.31
10313,P8925,Books,68.37,2.0
10315,P5766,Sports,53.13,2.77
10315,P7701,Home,63.63,10.48
10315,P6203,Electronics,69.64,3.81
10315,P7531,Beauty,50.86,5.2
10316,P3728,Home,75.58,3.46
10317,P6460,Books,13.48,5.92
10318,P9773,Books,17.56,3.29
10319,P6431,Home,88.25,9.87
10319,P1223,Beauty,29.03,7.95
10320,P4768,Electronics,17.91,2.53
10320,P5463,Books,66.16,2.08
10320,P7565,Books,15.29,6.59
10320,P2391,Apparel,69.75,7.36
10321,P4183,Electronics,77.49,8.15
10321,P7965,Sports,89.33,8.07
10323,P8037,Books,80.17,5.0
10323,P5563,Electronics,36.36,5.39
10323,P9300,Beauty,44.06,9.32
10324,P7510,Beauty,43.02,15.21
10327,P6089,Home,69.46,1.48
10327,P2370,Home,27.26,8.55
10327,P9025,Electronics,80.12,2.82
10327,P8758,Sports,40.73,1.92
10329,P6266,Books,32.09,1.27
10329,P1091,Books,49.92,3.42
10329,P9007,Home,59.72,6.34
10330,P2334,Sports,49.1,6.22
10330,P3085,Electronics,38.98,0.65
10330,P3722,Electronics,18.3,6.29
10330,P1639,Apparel,39.91,8.16
10331,P3291,Apparel,76.09,6.14
10331,P1151,Books,103.15,4.89
10331,P5441,Home,20.62,11.64
10331,P3718,Sports,42.96,10.39
10332,P3217,Beauty,68.95,12.94
10332,P1160,Apparel,76.88,11.46
10332,P2098,Home,62.94,2.07
10333,P2537,Home,112.53,3.11
10334,P6651,Home,103.05,13.78
10335,P7982,Home,27.88,7.66
10335,P7607,Sports,62.78,3.09
10337,P4546,Electronics,96.69,1.61
10337,P3075,Home,36.36,8.79
10338,P5542,Home,50.73,7.17
10338,P8756,Books,73.91,5.61
10338,P4546,Apparel,18.78,6.58
10338,P3348,Electronics,78.48,5.17
10340,P9198,Beauty,72.02,3.43
10340,P7316,Electronics,30.54,4.12
10340,P9552,Books,53.4,3.27
10340,P4504,Home,58.9,9.26
10341,P8235,Books,16.8,3.67
10341,P2970,Beauty,60.09,2.11
10341,P3916,Sports,76.14,5.48
10342,P4129,Sports,49.49,8.38
10342,P1174,Beauty,34.94,7.84
10343,P1212,Home,77.4,4.22
10344,P1719,Books,27.15,4.02
10346,P1498,Home,54.62,8.15
10346,P8446,Books,78.32,8.38
10346,P9938,Beauty,19.22,6.3
10347,P3509,Home,14.6,13.95
10348,P2956,Apparel,22.46,13.01
10348,P6148,Electronics,74.96,11.09
10350,P6185,Home,124.61,12.46
10351,P1232,Sports,115.54,5.72
10351,P2007,Books,69.11,13.07
10352,P3833,Sports,38.48,7.72
10352,P1052,Books,116.58,12.79
10352,P6594,Home,49.18,5.36
10353,P1329,Books,16.29,3.51
10353,P7136,Apparel,88.77,2.4
10354,P1873,Books,120.45,2.07
10354,P3300,Beauty,113.18,2.78
10355,P4264,Apparel,92.87,2.99
10355,P8202,Apparel,107.63,2.84
10355,P6957,Home,16.78,3.9
10355,P3793,Home,86.43,5.74
10359,P5729,Home,97.02,9.88
10359,P5406,Apparel,55.93,14.03
10359,P4575,Electronics,79.07,3.05
10359,P9471,Beauty,44.93,13.35
10360,P7099,Beauty,30.76,9.15
10360,P1554,Sports,65.43,9.18
10361,P6865,Home,97.5,1.45
10361,P1356,Home,31.74,7.94
10361,P8126,Beauty,119.37,6.63
10363,P6535,Apparel,37.78,4.66
10363,P4838,Beauty,87.45,3.75
10363,P5413,Sports,20.91,5.32
10363,P9391,Sports,55.05,0.35
10364,P1881,Apparel,57.61,6.62
10364,P6670,Electronics,29.85,6.43
10365,P4331,Home,14.4,2.4
10365,P7131,Beauty,15.33,2.49
10365,P8713,Electronics,52.07,3.51
10367,P7350,Books,24.63,7.7
10367,P7551,Apparel,30.56,7.85
10367,P7956,Home,76.01,6.89
10367,P9000,Sports,36.48,0.6
10368,P4852,Apparel,139.35,2.78
10369,P4079,Electronics,71.74,1.48
10369,P6563,Electronics,28.29,4.66
10369,P5668,Beauty,72.59,4.57
10369,P1570,Home,45.85,8.81
10370,P2661,Beauty,127.79,5.41
10371,P9306,Electronics,18.21,1.08
10371,P7581,Beauty,59.41,0.1
10371,P5237,Beauty,66.07,2.55
10371,P8377,Books,55.31,5.07
10372,P2310,Beauty,87.81,5.98
10372,P5224,Apparel,11.41,14.79
10375,P7050,Beauty,34.38,7.47
10375,P1385,Home,38.98,5.67
10375,P7833,Sports,26.55,2.46
10375,P1583,Electronics,40.63,2.5
10376,P5073,Books,12.92,9.46
10376,P3369,Apparel,18.59,1.21
10376,P6658,Books,67.56,11.44
10378,P1665,Books,129.86,8.88
10378,P2656,Electronics,57.95,0.6
10380,P2298,Electronics,20.02,6.27
10380,P5275,Beauty,81.27,6.66
10380,P4993,Home,53.87,4.53
10380,P8748,Books,68.24,3.14
10381,P3969,Sports,58.24,5.08
10381,P4393,Books,27.94,0.04
10381,P5501,Electronics,66.91,5.52
10382,P5715,Electronics,69.75,2.11
10382,P7893,Books,70.02,7.92
10384,P1205,Sports,44.86,9.71
